,MAE,MAE,MAE,MAE,MAE,MAE,MAE,KL,KL,KL,KL,KL,KL,KL
method,Choquet(ours),corr_cluster,dempster_shafer,median,naive_mean,rel_wtd_mean,sugeno,Choquet(ours),corr_cluster,dempster_shafer,median,naive_mean,rel_wtd_mean,sugeno
condition,,,,,,,,,,,,,,
adversarial,0.13821008413256325,0.1511146163915736,0.16741091582329354,0.13806251708470518,0.15281011144040568,0.13645418010826282,0.15552501545294806,0.597425583894369,0.7279887085395874,4.7165114868770806,2.9028951617464878,0.661332278233178,0.604921427523013,0.554436561330571
complementary,0.11744713813072749,0.11618201788775506,0.16622716734233056,0.14391990565326934,0.11618201788775506,0.11787349355062096,0.11769061459982233,2.1788852634917655,2.172778112008359,7.725881371686986,5.694742048803084,2.172778112008359,2.1825509021100085,2.1739382502280473
default,0.11758934072601694,0.12594395122249974,0.16720224220257876,0.13621924090706278,0.12179016716620443,0.12030376866197807,0.11383521946894663,1.0189106864613695,1.1267061681453598,5.604889791638247,4.187814237713161,1.0752854870319717,1.0544477177032157,0.949196058321256
heavy_bias,0.11734085882831888,0.12575909071931352,0.16720270569438617,0.13635154764578766,0.12158232809308286,0.1201233216909163,0.11332741847744159,1.0197849613937142,1.128953304456439,5.5960548846876765,4.186715268666305,1.0767877846139693,1.0558777546346962,0.94850425255333
high_noise,0.11995204488647437,0.1281555307599904,0.16720716757184578,0.13695470885125985,0.1235168280537777,0.12200992254598726,0.12017575324918754,1.0237537468290703,1.1324685370751466,5.60525197198116,4.250924534329732,1.0781086273945886,1.0570247663028234,0.9713009738008871
misspec_capacity,0.11755881984849655,0.1258898461229755,0.16720317462968876,0.13615801989436171,0.1217404704628942,0.12027127669716645,0.11383858988946442,1.0186515296849756,1.126211663636985,5.6043200862957985,4.187413516052797,1.074851362661338,1.054140924580797,0.9491690425949939
more_sources_m7,0.13154970914889774,0.12890146218876516,0.17182234354589948,0.1764396805435766,0.14499180467895567,0.1386770668070774,0.1256693113988983,0.9728362293791903,0.9519192027706527,2.89805513701581,8.392823958694724,1.1384906735311235,1.0589935856552262,0.8467018128648631
redundant_bloc,0.1259202166173083,0.12889973156141213,0.16094297902248206,0.173991866240331,0.1356030855367782,0.13008610200814216,0.12162054210809041,0.910353893583269,0.9519125614005567,2.001304478746646,8.001100475076182,1.0240083068974044,0.9640539548348975,0.824008851394761
